NSE/EXCELINFO,Excel Infoways Limited
NSE/ZENITHCOMP,Zenith Computers Limited
NSE/CMAHENDRA,C. Mahendra Exports Limited
NSE/HELIOSMATH,Helios And Matheson Information Technology Limited
NSE/INNOIND,Innoventive Industries Limited
NSE/SOFTTECHGR,Software Technology Group International Limited
NSE/PLETHICO,Plethico Pharmaceuticals Limited
NSE/REISIXTEN,REI Six Ten Retail Limited
NSE/SIRPAPER,The Sirpur Paper Mills Limited
NSE/CINEMAX,Cinemax India Limited
NSE/WELPROJ,Welspun Projects Limited
NSE/BELLCERATL,Bell Ceramics Limited
NSE/PANCHSHEEL,Panchsheel Organics Limited
NSE/KITPLYIND,Kitply Industries Limited
NSE/NUMERICPW,Numeric Power Systems Limited
NSE/DALMIABEL,Dalmia Bharat Enterprises Limited
NSE/PILIND,Peacock Industries Limited
NSE/DCB,Development Credit Bank Limited
NSE/ABB,ABB India Limited
NSE/ADLABS,Adlabs Entertainment Limited
NSE/ASIANPAINT,Asian Paints Limited
NSE/BAGFILMS,B.A.G Films and Media Limited
NSE/BIRLACORPN,Birla Corporation Limited
NSE/CAIRN,Cairn India Limited
NSE/DBL,Dilip Buildcon Limited
NSE/DQE,DQ Entertainment (International) Limited
NSE/EXIDEIND,Exide Industries Limited
NSE/GESHIP,The Great Eastern Shipping Company Limited
NSE/GOLDINFRA,Goldstone Infratech Limited
NSE/GTLINFRA,GTL Infrastructure Limited
NSE/HINDUJAVEN,Hinduja Ventures Limited
NSE/IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
NSE/IOC,Indian Oil Corporation Limited
NSE/KALPATPOWR,Kalpataru Power Transmission Limited
NSE/KIRIINDUS,Kiri Industries Limited
NSE/KTIL,Kesar Terminals & Infrastructure Limited
NSE/LTFH,L&T Finance Holdings Limited
NSE/MANAKCOAT,Manaksia Coated Metals & Industries Limited
NSE/MYSOREBANK,State Bank of Mysore
NSE/NDL,Nandan Denim Limited
NSE/NSIL,Nalwa Sons Investments Limited
NSE/PATSPINLTD,Patspin India Limited
NSE/PPAP,PPAP Automotive Limited
NSE/RIIL,Reliance Industrial Infrastructure Limited
NSE/SAKHTISUG,Sakthi Sugars Limited
NSE/SIYSIL,Siyaram Silk Mills Limited
NSE/TIRUMALCHM,Thirumalai Chemicals Limited
NSE/UBHOLDINGS,United Breweries (Holdings) Limited
NSE/VISAKAIND,Visaka Industries Limited
NSE/WILLAMAGOR,Williamson Magor & Company Limited
NSE/CNX_100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - CNX 100 Equal Weight
NSE/BOMDYEING,Bombay Dyeing & Mfg Company Limited
NSE/COLPAL,Colgate Palmolive (India) Limited
NSE/GAL,Gyscoal Alloys Limited
NSE/GITANJALI,Gitanjali Gems Limited
NSE/GUJFLUORO,Gujarat Fluorochemicals Limited
NSE/HEXATRADEX,Hexa Tradex Limited
NSE/JAYBARMARU,Jay Bharat Maruti Limited
NSE/JMCPROJECT,JMC Projects (India) Limited
NSE/KARURVYSYA,Karur Vysya Bank Limited
NSE/MAHLIFE,Mahindra Lifespace Developers Limited
NSE/MAXVIL,Max Ventures and Industries Limited
NSE/MMTC,MMTC Limited
NSE/MURUDCERA,Murudeshwar Ceramics Limited
NSE/NELCO,NELCO Limited
NSE/NMDC,NMDC Limited
NSE/PBAINFRA,PBA Infrastructure Limited
NSE/PREMEXPLN,Premier Explosives Limited
NSE/SAGCEM,Sagar Cements Limited
NSE/SHRIRAMEPC,Shriram EPC Limited
NSE/SUBEX,Subex Limited
NSE/SUZLON,Suzlon Energy Limited
NSE/UTISENSETF,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund
NSE/VIDEOIND,Videocon Industries Limited
NSE/ZENSARTECH,Zensar Technologies Limited
NSE/NAVNETPUBL,Navneet Publications India Limited
NSE/UTVSOF,UTV Software Communications Limited
NSE/ATNINTER,ATN International Limited
NSE/NCOPPER,Nissan Copper Limited
NSE/TELEMARINE,Teledata Marine Solutions Limited
NSE/BARTRONICS,Bartronics India Limited
NSE/JISLJALEQS,Jain Irrigation Systems Limited
NSE/ZEELEARN,Zee Learn Limited
NSE/DUNCANSLTD,Duncans Industries Limited
NSE/BATLIBOI,Batliboi Limited
NSE/CYIENT,Cyient Limited
NSE/BIGBLOC,Bigbloc Construction Limited
NSE/WELENT,Welspun Enterprises Limited
NSE/IBVENTURES,Indiabulls Ventures Limited
NSE/NEYVELILIG,Neyveli Lignite Corporation Limited
NSE/HGSL,Hinduja Global Solutions Limited
NSE/KSOILS,K S Oils Limited
NSE/JUPITER,Jupiter Bioscience Limited
NSE/NATNLSTEEL,National Steel And Agro Industries Limited
NSE/ADANIPORTS,Adani Ports and Special Economic Zone Limited
NSE/IFGLREFRAC,IFGL Refractories Limited
NSE/KRIDHANINF,Kridhan Infra Limited
NSE/UVSL,Uttam Value Steels Limited
NSE/MANGLMCEM,Mangalam Cement Limited
NSE/DONEAR,Donear Industries Limited
NSE/PHOENIXLL,Phoenix Lamps Limited
NSE/VETO,Veto Switchgears And Cables Limited
NSE/TULSYAN,Tulsyan Nec Limited
NSE/ATLASCYCLE,Atlas Cycles (Haryana) Limited
NSE/ORIENTHOT,Oriental Hotels Limited
NSE/SAYAJIHOTL,Sayaji Hotels Limited
NSE/KOVAI,Kovai Medical Center & Hospital Limited
NSE/CILNOVA,CIL Nova Petrochemicals Limited
NSE/NICCO,Nicco Corporation Limited
NSE/BGLOBAL,Bharatiya Global Infomedia Limited
NSE/GKB,GKB Ophthalmics Limited
NSE/ACKRUTI,Ackruti City Limited
NSE/ALCHEM,Alchemist Limited
NSE/MMFIN,Mahindra & Mahindra Financial Services Limited
NSE/SOBHA,Sobha Limited
NSE/EDELWEISS,Edelweiss Financial Services Limited
NSE/LANCOIN,Lanco Industries Limited
NSE/PERIATEA,The Peria Karamalai Tea & Produce Company Limited
NSE/WELGLOB,Welspun Global Brands Limited
NSE/LTTS,L&T Technology Services Limited
NSE/AMAR,Amar Remedies Limited
NSE/SYNDIBANK,Syndicate Bank
NSE/KOPDRUGS,KDL Biotech Limited
NSE/KAYA,Kaya Limited
NSE/ZUARIAGRO,Zuari Industries Limited
NSE/NIFTY_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty PSU Bank
NSE/KLRF,KLRF Limited
NSE/SATYAMCOMP,Satyam Computer Services Limited
NSE/FOURSOFT,Four Soft Limited
NSE/PFC,Power Finance Corporation Limited
NSE/HARITASEAT,Harita Seating Systems Limited
NSE/ABHISHEK,Abhishek Corporation Limited
NSE/MAJESCO,Majesco Limited
NSE/PARRYSUGAR,Parrys Sugar Industries Limited
NSE/RELNV20,Reliance Mutual Fund - R*Shares NV20 ETF
NSE/RRSLGETF,RELCAPAMC - RRSLGETF
NSE/SYNGENE,Syngene International Limited
NSE/VIPULLTD,Vipul Limited
NSE/HORIZONINF,Horizon Infrastructure Limited
NSE/INV20,ICICIPRAMC - INV20
NSE/FUTUREVENT,Future Ventures India Limited
NSE/FCH,Future Capital Holdings Limited
NSE/SIMPLEXCAS,Simplex Castings Limited
NSE/NIFTY_DIVIDEND,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Dividend
NSE/CNX_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - CNX PSU Bank
NSE/CNX_INFRA,National Stock Exchange of India (NSE) Stock Index - CNX Infrastructure
NSE/INTELLECT,Intellect Design Arena Limited
NSE/KRITIIND,Kriti Industries (India) Limited
NSE/ZEENEWS,Zee News Limited
NSE/INEABS,INEOS ABS (India) Limited
NSE/SBIGETS,SBI Mutual Fund - Gold ETF
NSE/ASTERSILI,Aster Silicates Limited
NSE/NIFTY50_DIV_POINT,National Stock Exchange of India (NSE) Stock Index - Nifty50 Dividend Points
NSE/CNX_METAL,National Stock Exchange of India (NSE) Stock Index - CNX Metal
NSE/LIX_15,National Stock Exchange of India (NSE) Stock Index - LIX 15
NSE/NIFTY_MIDCAP_50,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 50
NSE/CNX_FMCG,National Stock Exchange of India (NSE) Stock Index - CNX FMCG
NSE/NIFTY_SERV_SECTOR,National Stock Exchange of India (NSE) Stock Index - Nifty Services Sector
NSE/NIFTY_ALPHA_50,National Stock Exchange of India (NSE) Stock Index - Nifty Alpha 50
NSE/NIFTY50_VALUE_20,National Stock Exchange of India (NSE) Stock Index - Nifty50 Value 20
NSE/GSLNOVA,GSL Nova Petrochemicals Limited
NSE/NOL,National Oxygen Limited
NSE/DENSO,Denso India Limited
NSE/HIRAFERRO,Hira Ferro Alloys Limited
NSE/SURYAPHARM,Surya Pharmaceutical Limited
NSE/CNXFINANCE,National Stock Exchange of India Stock Index - CNX FINANCE
NSE/NIFTYMIDCAP,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/IPGETF,ICICI Prudential Mutual Fund-ICICI Prudential Gold Exchange Traded Fund
NSE/PROVOGUE,Provogue (India) Limited
NSE/WWIL,Wire and Wireless (India) Limited
NSE/EMPEESUG,Empee Sugars and Chemicals Limited
NSE/CLUTCHAUTO,Clutch Auto Limited
NSE/UNIPHOS,United Phosphorus Limited
NSE/CPIL,Career Point Infosystems Limited
NSE/PALRED,Palred Technologies Limited
NSE/PARAL,Parekh Aluminex Limited
NSE/ARL,Arvind Remedies Limited
NSE/LUMAXAUTO,Lumax Automotive Systems Limited
NSE/CNX_DEFTY,National Stock Exchange of India (NSE) Stock Index - CNX Defty
NSE/GLORY,Glory Polyfilms Limited
NSE/HCIL,Himadri Chemicals and Industries Limited
NSE/DRDATSONS,Dr. Datson's Labs Limited
NSE/DCMSRMCONS,DCM Shriram Consolidated Limited
NSE/IOLN,IOL Netcom Limited
NSE/SHREEASHTA,Shree Ashtavinayak Cine Vision Limited
NSE/BLUECHIP,Blue Chip India Limited
NSE/CNX_MNC,National Stock Exchange of India (NSE) Stock Index - CNX MNC
NSE/JUMBO,Jumbo Bag Limited
NSE/PATNI,Patni Computer Systems Limited
NSE/CAMBRIDGE,Cambridge Solutions Limited
NSE/LLOYDFIN,Lloyds Finance Limited
NSE/INDIAINFO,India Infoline Limited
NSE/SALONACOT,Salona Cotspin Limited
NSE/CRONIMET,Cronimet Alloys India Limited
NSE/TEAMLEASE,Teamlease Services Limited
NSE/CNX_500,National Stock Exchange of India (NSE) Stock Index - CNX 500
NSE/MANALIPETC,Manali Petrochemicals Limited
NSE/NANDAN,Nandan Exim Limited
NSE/SADBHIN,Sadbhav Infrastructure Project Limited
NSE/MICROTECH,Micro Technologies (India) Limited
NSE/CLASSIC,Classic Diamonds (India) Limited
NSE/SHARRESLTD,Sharyans Resources Limited
NSE/SUNCLAYTON,Sundaram Clayton Limited
NSE/INDUSFILA,Indus Fila Limited
NSE/KITEX,Kitex Garments Limited
NSE/TRICOM,Tricom India Limited
NSE/WINSOME,Winsome Yarns Limited
NSE/DEWANHOUS,Dewan Housing Finance Corporation Limited
NSE/CAROLINFO,Carol Info Services Limited
NSE/AVENTIS,Aventis Pharma Limited
NSE/DUNCANSIND,Duncans Industries Limited
NSE/HOTELRUGBY,Hotel Rugby Limited
NSE/KSBPUMPS,KSB Pumps Limited
NSE/ORICONENT,Oricon Enterprises Limited
NSE/RAJSREESUG,Rajshree Sugars & Chemicals Limited
NSE/SUBROS,Subros Limited
NSE/PIRHEALTH,Piramal Healthcare Limited
NSE/CINEPRO,Cinemax Properties Limited
NSE/IDFNIFTYET,IDFCAMC - IDFNIFTYET
NSE/IPAPPM,International Paper APPM Limited
NSE/BIMETAL,Bimetal Bearings Limited
NSE/NEOCORP,Neo Corp International Limited
NSE/VIJIFIN,Viji Finance Limited
NSE/CAMLIN,Camlin Limited
NSE/JIKIND,JIK Industries Limited
NSE/ELFORGE,EL Forge Limited
NSE/SIMBHALS,Simbhaoli Sugars Limited
NSE/RAMCOCEM,The Ramco Cements Limited
NSE/BALKRISHNA,Balkrishna Paper Mills Limited
NSE/MINDACORP,Minda Corporation Limited
NSE/SRHHLINDST,SRHHL Industries Limited
NSE/SWANENERGY,Swan Energy Limited
NSE/PROZONECSC,Prozone Capital Shopping Centres Limited
NSE/ELNET,Elnet Technologies Limited
NSE/DHANUS,Dhanus Technologies Limited
NSE/AXIS_ITT,Axis-IT&T Limited
NSE/CNXMEDIA,National Stock Exchange of India Stock Index - CNX MEDIA
NSE/HITACHIHOM,Hitachi Home and Life Solutions (India) Limited
NSE/MAXINDIA,Max India Limited
NSE/SETFGOLD,SBI-ETF Gold
NSE/AIL,Alstom India Limited
NSE/SURYALAXMI,Suryalakshmi Cotton Mills Limited
NSE/JUBLINDS,Jubilant Industries Limited
NSE/CNX_200,National Stock Exchange of India (NSE) Stock Index - CNX 200
NSE/CNX_NIFTY_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Shariah
NSE/NIFTY_PSE,National Stock Exchange of India (NSE) Stock Index - Nifty PSE
NSE/KOUTONS,Koutons Retail India Limited
NSE/PRETAILDVR,Pantaloon Retail (India) Limited
NSE/WYETH,Wyeth Limited
NSE/TCPLTD,TCP Limited
NSE/NAVKARCORP,Navkar Corporation Limited
NSE/KARURKCP,Karur K.C.P. Packkagings Limited
NSE/CNX_NIFTY,National Stock Exchange of India (NSE) Stock Index - CNX Nifty
NSE/NIFTY50_SHARIAH,National Stock Exchange of India (NSE) Stock Index - Nifty50 Shariah
NSE/DECOLIGHT,Decolight Ceramics Limited
NSE/ESSARPORTS,Essar Ports Limited
NSE/AMARJOTHI,Amarjothi Spinning Mills Limited
NSE/PANCARBON,Panasonic Carbon India Company Limited
NSE/HALONIX,Halonix Limited
NSE/SUPERHOUSE,Superhouse Limited
NSE/AFTEK,Aftek Limited
NSE/BRANDHOUSE,Brandhouse Retails Limited
NSE/SHLAKSHMI,Shri Lakshmi Cotsyn Limited
NSE/SETFNIFJR,SBIAMC - SETFNIFJR
NSE/SETFNIFTY,SBIAMC - SETFNIFTY
NSE/SIMBHSUGAR,Simbhaoli Sugars Limited
NSE/RDEL,Reliance Defence and Engineering Limited
NSE/TARAPUR,Tarapur Transformers Limited
NSE/KEYCORPSER,Keynote Corporate Services Limited
NSE/THEBYKE,The Byke Hospitality Limited
NSE/NANDANEXIM,Nandan Exim Limited
NSE/SRICHAMUND,Sri Chamundeswari Sugars Limited
NSE/FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option
NSE/TEXMACOLTD,Texmaco Limited
NSE/IBSEC,Indiabulls Securities Limited
NSE/IVRCLAH,IVRCL Assets & Holdings Limited
NSE/FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option)
NSE/ANIKINDS,Anik Industries Limited
NSE/ASIL,Amit Spinning Industries Limited
NSE/GANGOTRI,Gangotri Textiles Limited
NSE/CUBEXTUB,Cubex Tubings Limited
NSE/GEINDSYS,GEI Industrial Systems Limited
NSE/XLENERGY,XL Energy Limited
NSE/NET4,Net 4 India Limited
NSE/PARASPETRO,Paras Petrofils Limited
NSE/DPTL,Dhunseri Petrochem & Tea Limited
NSE/ALPA,Alpa Laboratories Limited
NSE/BIRLAERIC,Birla Ericsson Optical Limited
NSE/INDOWIND,Indowind Energy Limited
NSE/ZENITHBIR,Zenith Birla (India) Limited
NSE/SPECTACLE,Spectacle Ventures Limited
NSE/THOMASCOTT,Thomas Scott (India) Limited
NSE/MLL,Mercator Lines Limited
NSE/MMWL,Media Matrix Worldwide Limited
NSE/GULFCORP,Gulf Oil Corporation Limited
NSE/MANJEERA,Manjeera Constructions Limited
NSE/VIPUL,Vipul Limited
NSE/BECREL,Best & Crompton Engg. Limited
NSE/AYMSYNTEX,AYM Syntex Limited
NSE/GENUSPAPER,Genus Paper & Boards Limited
NSE/CNXSMALLCAP,National Stock Exchange of India Stock Index - CNX SMALLCAP
NSE/LUXIND,Lux Industries Limited
NSE/LICNETFN50,LICNAMC - LICNFENGP
NSE/MARATHON,Marathon Nextgen Realty Limited
NSE/NH,Narayana Hrudayalaya Ltd.
NSE/SETFNN50,SBI-ETF Nifty Next 50
NSE/RBLBANK,RBL Bank Limited
NSE/SHARDAMOTR,Sharda Motor Industries Limited
NSE/SETCO,Setco Automotive Limited
NSE/PALREDTECH,Palred Technologies Limited
NSE/NEOCURE,Neocure Therapeutics Limited
NSE/SIGNETIND,Signet Industries Limited
NSE/CNXMETAL,National Stock Exchange of India Stock Index - CNX METAL
NSE/NIFTY_IT,National Stock Exchange of India (NSE) Stock Index - Nifty IT
NSE/CNX_500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX 500 Shariah
NSE/SAMBANDAM,Sambandam Spinning Mills Limited
NSE/SAVERA,Savera Industries Limited
NSE/PILANIINV,Pilani Investment and Industries Corporation Limited
NSE/IPRINGLTD,IP Rings Limited
NSE/RAJPALAYAM,Rajapalayam Mills Limited
NSE/DALMIAREF,Dalmia Refractories Limited
NSE/MUTHOOTCAP,Muthoot Capital Services Limited
NSE/RMMIL,Resurgere Mines & Minerals Limited
NSE/NIFTY_PHARMA,National Stock Exchange of India (NSE) Stock Index - Nifty Pharma
NSE/MUDRA,Mudra Lifestyle Limited
NSE/ALPINEHOU,Alpine Housing Development Corporation Limited
NSE/NGCT,Northgate Com Tech Limited
NSE/ARVINDREM,Arvind Remedies Limited
NSE/GUJSTATFIN,Gujarat State Financial Corporation
NSE/3MINDIA,3M India Limited
NSE/ACCELYA,Accelya Kale Solutions Limited
NSE/ADSL,Allied Digital Services Limited
NSE/APTECHT,Aptech Limited
NSE/ARSHIYA,Arshiya Limited
NSE/AUTOIND,Autoline Industries Limited
NSE/BANKBARODA,Bank of Baroda
NSE/BSLGOLDETF,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth
NSE/CENTUM,Centum Electronics Limited
NSE/COMPINFO,Compuage Infocom Limited
NSE/DAMODARIND,Damodar Industries Limited
NSE/CRISIL,CRISIL Limited
NSE/DHARSUGAR,Dharani Sugars & Chemicals Limited
NSE/DIGJAMLTD,Digjam Limited
NSE/DWARKESH,Dwarikesh Sugar Industries Limited
NSE/EDUCOMP,Educomp Solutions Limited
NSE/ENIL,Entertainment Network (India) Limited
NSE/FEDDERLOYD,Fedders Lloyd Corporation Limited
NSE/GEPIL,GE Power India Limited
NSE/GSKCONS,GlaxoSmithKline Consumer Healthcare Limited
NSE/HCC,Hindustan Construction Company Limited
NSE/HOVS,HOV Services Limited
NSE/IMFA,Indian Metals & Ferro Alloys Limited
NSE/INDORAMA,Indo Rama Synthetics (India) Limited
NSE/IRB,IRB Infrastructure Developers Limited
NSE/JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
NSE/JPASSOCIAT,Jaiprakash Associates Limited
NSE/JPOLYINVST,Jindal Poly Investment and Finance Company Limited
NSE/KANORICHEM,Kanoria Chemicals & Industries Limited
NSE/KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
NSE/KOTAKGOLD,Kotak Mutual Fund - Gold Exchange Traded Fund
NSE/MANAKSIA,Manaksia Limited
NSE/MEGASOFT,Megasoft Limited
NSE/MOTHERSUMI,Motherson Sumi Systems Limited
NSE/NAHARCAP,Nahar Capital and Financial Services Limited
NSE/NESTLEIND,Nestle India Limited
NSE/NV20IWIN,ICICI Prudential NV20 ETF
NSE/PDPL,Parenteral Drugs (India) Limited
NSE/OBEROIRLTY,Oberoi Realty Limited
NSE/PFS,PTC India Financial Services Limited
NSE/PSUBNKBEES,Goldman Sachs PSU Bank Exchange Traded Scheme
NSE/REPRO,Repro India Limited
NSE/SAKUMA,Sakuma Exports Limited
NSE/SALZERELEC,Salzer Electronics Limited
NSE/SETF10GILT,SBIAMC - SETF10GILT
NSE/SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
NSE/SHREERAMA,Shree Rama Multi-Tech Limited
NSE/SOMANYCERA,Somany Ceramics Limited
NSE/SREEL,Sreeleathers Limited
NSE/STARPAPER,Star Paper Mills Limited
NSE/SURYAROSNI,Surya Roshni Limited
NSE/SYNCOM,Syncom Healthcare Limited
NSE/TEXMOPIPES,Texmo Pipes and Products Limited
NSE/UTTAMSTL,Uttam Galva Steels Limited
NSE/VSSL,Vardhman Special Steels Limited
NSE/ZANDUREALT,Zandu Realty Limited
NSE/INGVYSYABK,ING Vysya Bank Limited
NSE/TVVISION,TV Vision Limited
NSE/IIFLNIFTY,IIFL Mutual Fund - Nifty ETF
NSE/SKUMARSYNF,S. Kumars Nationwide Limited
NSE/PRITHVI,Prithvi Information Solutions Limited
NSE/SHIV_VANI,Shiv-Vani Oil & Gas Exploration Services Limited
NSE/RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund
NSE/TECPRO,Tecpro Systems Limited
NSE/RANBAXY,Ranbaxy Laboratories Limited
NSE/MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF
NSE/VAKRANSOFT,Vakrangee Softwares Limited
NSE/SPANCO,Spanco Limited
NSE/SPCNXNIFTYSHARIAH,National Stock Exchange of India Stock Index - S&P CNX NIFTY SHARIAH
NSE/MUNDRAPORT,Mundra Port and Special Economic Zone Limited
NSE/MBSWITCH,M AND B Switchgears Limited
NSE/FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund
NSE/CNXREALTY,National Stock Exchange of India Stock Index - CNX REALTY
NSE/NEHAINT,Neha International Limited
NSE/VAIBHAVGEM,Vaibhav Gems Limited
NSE/THINKSOFT,Thinksoft Global Services Limited
NSE/SPCNX500,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/NIFTYMIDCAP50,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/VIKASHMET,Vikash Metal & Power Limited
NSE/MMFSL,Money Matters Financial Services Limited
NSE/BOC,BOC India Limited
NSE/INFOTECENT,Infotech Enterprises Limited
NSE/INDIABULLS,Indiabulls Financial Services Limited
NSE/FKONCO,Fresenius Kabi Oncology Limited
NSE/ASHCONIUL,Ashco Niulab Industries Limited
NSE/COROENGG,Coromandel Engineering Company Limited
NSE/LAKSHMIMIL,The Lakshmi Mills Company Limited
NSE/SPCNX,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/MORARJETEX,Morarjee Textiles Limited
NSE/CNXPSUBANK,National Stock Exchange of India Stock Index - CNX PSU BANK
NSE/NATHSEED,Nath Seeds  Limited
NSE/CNXMIDCAP,National Stock Exchange of India Stock Index - CNX MIDCAP
NSE/BODHTREE,Bodhtree Consulting Limited
NSE/EDSERV,Edserv Softsystems Limited
NSE/CORAL_HUB,Coral Hub Limited
NSE/VISHALRET,Vishal Retail Limited
NSE/SENTINEL,Sentinel Tea and Exports Limited
NSE/ANKURDRUGS,Ankur Drugs And Pharma Limited
NSE/AANJANEYA,Aanjaneya Lifecare Limited
NSE/BHAGWATIHO,Bhagwati Banquets and Hotels Limited
NSE/CNXAUTO,National Stock Exchange of India Stock Index - CNX AUTO
NSE/AMLSTEEL,AML Steel Limited
NSE/RAINCOM,Rain Commodities  Limited
NSE/PONDYOXIDE,Pondy Oxides & Chemicals Limited
NSE/KSE,KSE Limited
NSE/KINETICMOT,Kinetic Motor Company Limited
NSE/FIRSTLEASE,First Leasing Company of India Limited
NSE/KLGSYSTEL,KLG Systel Limited
NSE/SURAJDIAMN,Su-Raj Diamonds and Jewellery Limited
NSE/SESAGOA,Sesa Goa Limited
NSE/BIRLAPOWER,Birla Power Solutions Limited
NSE/JSWISPAT,JSW ISPAT Steel Limited
NSE/NOVOPANIND,Novopan Industries Limited
NSE/SUJANATOW,Sujana Tower Limited
NSE/TELEDATAIT,Teledata Technology Solutions Limited
NSE/CREWBOS,Crew B.O.S. Products Limited
NSE/MADRASCEM,Madras Cements Limited
NSE/CHEMPLAST,Chemplast Sanmar Limited
NSE/CNXDIVIDENDOPPT,National Stock Exchange of India Stock Index - CNX DIVIDEND OPPT
NSE/CNXPSE,National Stock Exchange of India Stock Index - CNX PSE
NSE/NIFTYDIVIDEND,National Stock Exchange of India Stock Index - NIFTY DIVIDEND
NSE/CNX100,National Stock Exchange of India Stock Index - CNX 100
NSE/DCHL,Deccan Chronicle Holdings Limited
NSE/SARTHAKIND,Sarthak Industries Limited
NSE/OSWALMIN,Oswal Minerals Limited
NSE/TANFACIND,Tanfac Industries Limited
NSE/APPAPER,The Andhra Pradesh Paper Mills Limited
NSE/PANTALOONR,Pantaloon Retail (India) Limited
NSE/CNX_ALPHA_INDEX,National Stock Exchange of India (NSE) Stock Index - CNX Alpha
NSE/CNXCONSUMPTION,National Stock Exchange of India Stock Index - CNX CONSUMPTION
NSE/JDORGOCHEM,JD Orgochem Limited
NSE/CNXPHARMA,National Stock Exchange of India Stock Index - CNX PHARMA
NSE/CNXINFRA,National Stock Exchange of India Stock Index - CNX INFRA
NSE/SMOBILITY,S Mobility Limited
NSE/CNXFMCG,National Stock Exchange of India Stock Index - CNX FMCG
